"Continent","Region","Country","Country_Code","CRIMINALITY","Human_trafficking","Victim_support"
"Asia","Southern Asia","Afghanistan","AFG","7.08","8.5","2.0"
"Europe","Central & Eastern Europe","Albania","ALB","5.63","5.0","4.5"
"Africa","North Africa","Algeria","DZA","4.51","4.5","3.0"
"Europe","Western Europe","Andorra","AND","2.96","2.5","8.5"
"Africa","Central Africa","Angola","AGO","5.29","6.0","4.0"
"Americas","Caribbean","Antigua and Barbuda","ATG","3.34","4.0","4.0"
"Americas","South America","Argentina","ARG","4.38","4.0","6.0"
"Asia","Central Asia and the Caucasus","Armenia","ARM","3.26","3.5","5.5"
"Oceania","Australia and New Zealand","Australia","AUS","4.00","3.5","7.5"
"Europe","Western Europe","Austria","AUT","4.04","4.5","8.0"
"Asia","Central Asia and the Caucasus","Azerbaijan","AZE","5.08","4.5","4.0"
"Americas","Caribbean","Bahamas","BHS","3.79","4.5","6.5"
"Asia","Western Asia","Bahrain","BHR","4.83","7.5","5.5"
"Asia","Southern Asia","Bangladesh","BGD","4.98","8.0","3.5"
"Americas","Caribbean","Barbados","BRB","3.21","3.5","5.5"
"Europe","Central & Eastern Europe","Belarus","BLR","5.08","7.0","3.0"
"Europe","Western Europe","Belgium","BEL","4.34","5.0","7.5"
"Americas","Central America","Belize","BLZ","4.64","5.0","3.0"
"Africa","West Africa","Benin","BEN","5.25","6.0","3.0"
"Asia","Southern Asia","Bhutan","BTN","3.69","5.0","3.5"
"Americas","South America","Bolivia","BOL","4.30","5.0","5.0"
"Europe","Central & Eastern Europe","Bosnia and Herzegovina","BIH","5.89","5.5","4.0"
"Africa","Southern Africa","Botswana","BWA","3.71","4.5","5.5"
"Americas","South America","Brazil","BRA","6.50","5.0","5.0"
"Asia","South-Eastern Asia","Brunei","BRN","2.76","4.5","3.5"
"Europe","Central & Eastern Europe","Bulgaria","BGR","5.43","6.0","4.5"
"Africa","West Africa","Burkina Faso","BFA","5.49","6.0","2.5"
"Africa","Central Africa","Burundi","BDI","4.51","8.5","1.5"
"Africa","West Africa","Cabo Verde","CPV","4.04","4.5","3.5"
"Asia","South-Eastern Asia","Cambodia","KHM","5.83","7.5","3.0"
"Africa","Central Africa","Cameroon","CMR","6.31","6.5","2.5"
"Americas","North America","Canada","CAN","3.66","3.5","8.5"
"Africa","Central Africa","Central African Republic","CAF","7.04","7.5","3.0"
"Africa","Central Africa","Chad","TCD","5.86","7.0","1.0"
